Difficulty,Title,Frequency,Link,Topics,Companies
MEDIUM,LRU Cache,100.0,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List","Apple, Amazon, Google, Meta"
EASY,Best Time to Buy and Sell Stock,100.0,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming","Apple, Amazon, Google, Meta"
MEDIUM,Best Time to Buy and Sell Stock II,85.9,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy",Apple
MEDIUM,Min Stack,78.7,https://leetcode.com/problems/min-stack,"Stack, Design","Apple, Amazon"
MEDIUM,Design Hit Counter,78.7,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream","Apple, Amazon, Databricks"
MEDIUM,Merge Intervals,68.5,https://leetcode.com/problems/merge-intervals,"Array, Sorting","Apple, Amazon, Microsoft, Meta"
MEDIUM,Exam Room,68.5,https://leetcode.com/problems/exam-room,"Design, Heap (Priority Queue), Ordered Set",Apple
MEDIUM,Maximum Subarray,68.5,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming","Apple, Amazon, Meta"
MEDIUM,Best Time to Buy and Sell Stock with Transaction Fee,68.5,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-transaction-fee,"Array, Dynamic Programming, Greedy",Apple
EASY,Flood Fill,68.5,https://leetcode.com/problems/flood-fill,"Array, Depth-First Search, Breadth-First Search, Matrix","Apple, Amazon"
MEDIUM,Letter Combinations of a Phone Number,68.5,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking","Apple, Google"
EASY,Find the Index of the First Occurrence in a String,68.5,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching",Apple
MEDIUM,Number of Islands,68.5,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix","Apple, Amazon, Google, Meta"
MEDIUM,Course Schedule II,68.5,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort","Apple, Uber, Amazon"
EASY,Longest Common Prefix,68.5,https://leetcode.com/problems/longest-common-prefix,"String, Trie","Apple, Amazon, Google, Meta"
MEDIUM,The Maze II,100.0,https://leetcode.com/problems/the-maze-ii,"Array, Depth-First Search, Breadth-First Search, Graph, Heap (Priority Queue), Matrix, Shortest Path",Uber
MEDIUM,The Maze,100.0,https://leetcode.com/problems/the-maze,"Array, Depth-First Search, Breadth-First Search, Matrix",Uber
EASY,Squares of a Sorted Array,84.0,https://leetcode.com/problems/squares-of-a-sorted-array,"Array, Two Pointers, Sorting","Uber, Meta"
MEDIUM,My Calendar I,84.0,https://leetcode.com/problems/my-calendar-i,"Array, Binary Search, Design, Segment Tree, Ordered Set",Uber
HARD,Alien Dictionary,78.8,https://leetcode.com/problems/alien-dictionary,"Array, String, Depth-First Search, Breadth-First Search, Graph, Topological Sort","Uber, Meta"
HARD,Bus Routes,78.8,https://leetcode.com/problems/bus-routes,"Array, Hash Table, Breadth-First Search",Uber
MEDIUM,Construct Quad Tree,72.2,https://leetcode.com/problems/construct-quad-tree,"Array, Divide and Conquer, Tree, Matrix","Uber, Google"
MEDIUM,Rotating the Box,72.2,https://leetcode.com/problems/rotating-the-box,"Array, Two Pointers, Matrix",Uber
MEDIUM,Kth Smallest Element in a BST,62.9,https://leetcode.com/problems/kth-smallest-element-in-a-bst,"Tree, Depth-First Search, Binary Search Tree, Binary Tree",Uber
MEDIUM,Shuffle an Array,62.9,https://leetcode.com/problems/shuffle-an-array,"Array, Math, Design, Randomized",Uber
MEDIUM,Insert Interval,62.9,https://leetcode.com/problems/insert-interval,Array,Uber
MEDIUM,Word Search,62.9,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix","Uber, Amazon"
EASY,Two Sum,100.0,https://leetcode.com/problems/two-sum,"Array, Hash Table","Amazon, Google, Microsoft, Meta"
MEDIUM,Reorganize String,93.9,https://leetcode.com/problems/reorganize-string,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting",Amazon
MEDIUM,Longest Substring Without Repeating Characters,93.9,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window","Amazon, Google, Microsoft, Meta"
